ISO3,Year,Region,country,iso3c,LandArea,ArablePercent,Population,PopGrowth,RuralPopulation,UrbanPopulation,BirthRatePer1K,FertilityRate,PrimarySchoolAge,LifeExpectancy,AgeDepRatioOld,CO2Emissions,GDP,GDPPerCapita,GDPPerCapGrowth,GNIPerCapita,AdjNetNatlIncome,Inflation,Unemployment,TotalTrade,Exports,Imports,FDIIn,AgriEmployment,MobileCellSubscriptions,NaturalResourceRents,MilitaryExpenditures,GovtExpenditures,PublicEdExpend,WomenBusLawIndex,PaidParentalLeave
ROU,2018,Europe & Central Asia,Romania,ROU,230080,37.7520862308762,19473970,-0.587493307403584,46.002,53.998,10.4,1.76,6,75.3585365853659,27.1559802512019,3.86105156993701,209897450635.31,10778.3595556176,6.65376580785784,10569.1866598039,168051339946.714,4.62548443137781,4.19000005722046,86.470670301064,41.5417472926055,44.9289230084585,3.01810302367972,22.3099994659424,115.4396415,1.12220304206855,1.80524172597542,16.6605877889005,3.34474992752075,90.625,1
RUS,2018,Europe & Central Asia,Russian Federation,RUS,16376870,7.42809828740168,144477859,-0.0130668924933287,25.567,74.433,10.9,1.579,7,72.6621951219512,21.4291839797377,11.4965712497165,1430115105089.32,9739.900390625,2.81552410737709,9470.244140625,1135423734650.32,2.87829723647886,4.84999990463257,51.5809003703964,30.7932568020743,20.7876435683221,0.530060511511943,5.88000011444092,157.431312,15.3405518247651,3.69251875943369,17.7103783204011,4.67819976806641,73.125,1
RWA,2018,Sub-Saharan Africa,Rwanda,RWA,24670,46.6842318605594,12531808,2.43503841544025,82.789,17.211,31.158,3.994,7,66.251,5.30105012473943,0.102938056651764,10216367625.9573,815.234930662625,5.9674174316999,786.07654856567,8147183370.31433,-0.311210160390642,1.11099994182587,55.7578896987393,21.0980867012355,34.6598029975038,3.79771397053202,63.3499984741211,77.40789677,4.52574707915166,1.25174035173425,14.7310708533089,3.07375001907349,78.125,0
WSM,2018,East Asia & Pacific,Samoa,WSM,2780,4.44244604316547,209701,0.992505709183727,81.757,18.243,28.222,4.109,5,72.636,8.51678245584666,1.38292135781589,896973258.520993,4277.39142169562,-1.59122287483045,4131.64353493655,744000364.84674,4.19745888663745,8.68599987030029,78.9349676190658,31.9656764793989,46.9692911396669,1.90263926906935,30.8500003814697,47.68694475,0.28196472221179403,NA,13.4088642552028,4.53214979171753,75,0
SMR,2018,Europe & Central Asia,San Marino,SMR,60,33.0833333333333,34156,0.293203751950861,2.774,97.226,6.8,NA,6,NA,28.5482882409596,NA,1478180472.37724,43277.3296749396,1.19675721734758,NA,NA,NA,NA,309.487956436918,166.597497668983,142.890458767935,NA,NA,112.7181169,0,NA,19.4112752308576,3.55516004562378,80,0
STP,2018,Sub-Saharan Africa,Sao Tome and Principe,STP,960,4.16666666666667,211344,1.57759960331955,27.197,72.803,29.535,4.044,6,68.355,6.75024191318773,0.662427135835633,351971392.289827,1665.39571641412,1.33394826772522,NA,NA,7.85706431333533,14.0609998703003,NA,NA,NA,5.74847846816378,19.6100006103516,76.9409115,2.24055896585385,NA,NA,5.23510980606079,68.75,0
SAU,2018,Middle East & North Africa,Saudi Arabia,SAU,2149690,1.59577283236188,35018133,2.38415003117342,16.156,83.844,18.703,2.546,6,77.212,3.21141782336272,14.8854312069014,676867966014.77,19329.0706279164,0.0989795177574422,19571.8797881063,564358059949.967,2.45814158007533,6.03999996185303,64.2321422510771,38.5653693884461,25.666772862631,0.520110011812292,2.51999998092651,117.9691219,30.0861755204569,9.48635565893277,24.0428694115069,7.08581018447876,38.125,0
SEN,2018,Sub-Saharan Africa,Senegal,SEN,192530,16.6207863709552,15574909,2.71464328183934,52.808,47.192,33.955,4.584,6,68.097,5.830789783585,0.653615395452763,21565674237.7591,1384.64206999598,3.36482160369758,1348.25617804914,19025966633.8956,0.46098564246427,3.27500009536743,61.7893101353561,22.9488948770268,38.8404152583293,3.66762694717928,30.8299999237061,106.3244864,2.77622995403465,1.65824007839249,13.7845127022944,4.85822010040283,63.75,0
SRB,2018,Europe & Central Asia,Serbia,SRB,87460,29.5335010290418,6982604,-0.546351968633598,43.908,56.092,9.2,1.49,7,75.890243902439,30.7952608654225,6.60641804520422,43721764447.4752,6261.52713908381,5.0675948814029,5940.98075526601,35483315678.3291,1.95984076293803,12.7299995422363,109.494865710998,50.4345612977047,59.0603044132937,8.04076379354097,15.9300003051758,121.0748239,1.56096653563067,1.61493759611063,16.5396316552388,3.58231997489929,93.75,1
SYC,2018,Sub-Saharan Africa,Seychelles,SYC,460,0.326086956521739,96762,0.954291917891324,43.309,56.691,17.1,2.41,6,72.8414634146341,10.3876384423008,5.99408841601764,1608971156.22993,16628.1304254762,2.2187494646011,15422.3561146054,1250395766.98155,3.70291839111564,NA,202.504953235308,94.9176071590175,107.587346076291,18.8023220475274,NA,173.563787,0.127704605497036,1.38004626804357,24.959912840631,4.49883985519409,76.25,0
SLE,2018,Sub-Saharan Africa,Sierra Leone,SLE,72180,21.9451371571072,7861281,2.36471306664028,57.945,42.055,33.099,4.294,6,59.796,5.57493541219584,0.109396930895247,4823284725.67196,613.549461680858,1.0466625132383,566.010889256934,4337192027.05364,16.0295447693699,4.65999984741211,56.6958306351663,17.4672993262746,39.2285313088917,6.13069806263831,55.3600006103516,80.84116316,8.04777172255309,0.751992568713766,9.2405640383603,6.98963022232056,63.125,0
SGP,2018,East Asia & Pacific,Singapore,SGP,714,0.784313725490196,5638676,0.469704298714121,0,100,8.8,1.14,6,83.2975609756098,14.7171631101804,8.40622896684947,346066118708.176,61373.6484785038,3.17554509933274,NA,NA,0.438620118446782,3.64299988746643,324.32041134713,176.592144152422,147.728267194708,21.533406610475,0.0599999986588955,147.3617155,1.88248462579171e-4,2.83550081526403,9.97348843676173,2.85597991943359,82.5,1
SXM,2018,Latin America & Caribbean,Sint Maarten (Dutch part),SXM,34,NA,40895,0.788033880779993,0,100,NA,NA,6,NA,9.75686176212558,NA,1108000833.9583,27093.797137995,-7.33312894472255,26571.8135449205,NA,NA,NA,171.72478793591,67.4835061262959,104.241281809614,-4.04184728652215,NA,NA,0,NA,NA,NA,NA,NA
